calories,cautions,dietLabels,CA,CHOLE,FAT,FE,FIBTG,K,MG,NA,PROCNT,SUGAR,VITC
458,"['WHEAT', 'SULFITES', 'FODMAP']","['LOW_CARB', 'LOW_SODIUM']",29.48477803,1.136625928,4.178421493,37.8575634,141.9852929,546.5733549,46.54618863,53.75660149,563.9906616,2.098361635,15.61424059
81,['SULFITES'],"['LOW_CARB', 'LOW_SODIUM']",7.3495,3.519,0.4314,1.1768,0.0,7.14,10.68,16.19,267.72,0.3868,6.196
592,"['GLUTEN', 'EGGS', 'MILK', 'TREE_NUTS', 'SULFITES', 'FODMAP']",['LOW_SODIUM'],39.99162258,11.22890542,29.60253755,17.17977205,58.84217298,393.5191757,257.3473784,135.4578967,1240.68039,4.242611232,126.9766892
257,"['MILK', 'SULFITES']",['BALANCED'],11.12916216,7.301345827,20.88205967,8.094523862,14.18513183,354.4909782,112.2812863,68.0127596,730.0841294,2.567535535,40.20861346
304,"['EGGS', 'MILK', 'FODMAP']",['LOW_CARB'],19.88239753,3.180227626,3.665255248,19.0259078,256.2212173,548.9452539,321.1836172,90.13060911,746.7012903,4.511715616,34.83488345
304,"['EGGS', 'MILK', 'FODMAP']",['LOW_CARB'],19.88239753,3.180227626,3.665255248,19.0259078,256.2212173,548.9452539,321.1836172,90.13060911,746.7012903,4.511715616,34.83488345
1058,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES']",['LOW_CARB'],95.009318,2.999661527,7.471169713,37.53852219,145.4562017,932.3626529,90.01547968,50.45676405,867.3334136,4.190247064,41.68081925
229,"['GLUTEN', 'WHEAT', 'SOY', 'FISH', 'SHELLFISH', 'SULFITES']",[],10.21528592,1.949739322,12.10529321,19.39618304,65.05997253,1006.173753,44.13927611,62.43145032,511.570917,1.71272474,27.04301539
757,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'FODMAP']",['LOW_CARB'],51.46489258,1.635061504,4.961552241,39.56523799,153.1771139,654.2334071,159.6356918,52.78190851,649.349993,4.462600753,2.384982744
358,"['GLUTEN', 'WHEAT', 'SOY', 'FISH', 'SULFITES']",['LOW_CARB'],26.084283,0.846594342,3.513106394,24.46554093,75.83184173,584.1586569,29.50889389,37.78195505,443.0303188,2.746465943,5.242072121
897,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES']",[],50.15675679,4.700618605,9.344629152,49.85008469,150.8650025,967.4432197,279.4958897,75.52644382,833.5405613,6.869393153,20.39455565
189,['SULFITES'],[],7.5637,1.247,0.8514,4.3731,0.0,797.65,9.03,10.75,77.83,1.7673,0.129
841,"['GLUTEN', 'WHEAT', 'SULFITES']","['LOW_CARB', 'LOW_SODIUM']",47.25,0.0,0.0,80.4,288.0,162.28,54.0,66.0,981.56,5.4412,0.0
594,[],"['LOW_CARB', 'LOW_SODIUM']",47.77534841,2.609084974,0.779322206,35.13452797,184.3196838,333.0877691,127.6645924,52.23316209,667.828865,4.722121979,7.555267914
396,"['GLUTEN', 'WHEAT', 'MILK', 'SOY', 'SULFITES']",['LOW_SODIUM'],21.71516916,3.621341414,6.211260123,23.30312689,69.66031261,442.3169237,123.4395548,51.76409577,502.2717868,2.715664987,17.27393872
32,[],[],0.234,1.404,1.248,1.17,0.0,78.0,33.54,15.6,234.0,0.546,6.24
304,[],[],21.09029103,1.746903001,0.863427979,12.13440736,63.29933562,426.19209,223.7575676,27.89553184,150.1705061,1.286588789,0.892032236
234,"['MILK', 'SOY']",[],15.26487356,2.496792917,1.255357731,2.702078171,6.778472222,296.4235375,19.51746103,30.5626527,578.4970126,1.268779978,16.92118723
265,"['EGGS', 'MILK', 'SULFITES', 'FODMAP']",[],15.48673541,4.154446661,4.03825398,4.734404619,26.41925315,401.9387189,49.07752065,43.08193118,718.5772375,1.672356857,42.31156683
265,"['EGGS', 'MILK', 'SULFITES', 'FODMAP']",[],15.48673541,4.154446661,4.03825398,4.734404619,26.41925315,401.9387189,49.07752065,43.08193118,718.5772375,1.672356857,42.31156683
117,['SOY'],['LOW_SODIUM'],7.020477649,0.524542285,0.860491628,6.843297823,57.77672137,198.7549712,49.23458691,14.19014328,206.6201651,0.628137446,3.076310322
453,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES', 'FODMAP']",['LOW_SODIUM'],21.10126309,2.855534092,32.19829307,6.093323617,85.55965666,300.9749498,104.8450832,31.60790585,368.8082404,1.448898548,3.444936773
7,[],['LOW_SODIUM'],0.1488,0.576,0.3616,0.6848,0.0,6.08,24.0,7.52,78.56,0.2352,19.2
105,"['GLUTEN', 'WHEAT']","['LOW_CARB', 'LOW_SODIUM']",6.255,1.35,0.9,12.285,0.0,18.0,301.5,55.5,222.0,2.415,0.3
674,"['GLUTEN', 'WHEAT', 'MILK', 'SULFITES']",['LOW_CARB'],43.27296832,2.822623992,5.196832922,49.04638664,196.7372299,764.4309476,74.50192258,73.5829242,883.2344319,3.755808476,17.57846388
508,"['GLUTEN', 'WHEAT', 'EGGS', 'SOY', 'SULFITES', 'FODMAP']",[],27.75929744,1.43931568,17.8061505,28.67199998,110.5481659,607.0710292,49.75208238,49.79958323,512.4043671,1.810270115,27.47830541
626,"['GLUTEN', 'WHEAT', 'MILK', 'SULFITES', 'FODMAP']",['LOW_CARB'],38.29988347,3.149006348,5.24573984,43.34678423,193.663912,742.5016738,81.05040586,74.27086897,910.487195,3.379734726,22.11434128
499,"['GLUTEN', 'WHEAT', 'MILK', 'SULFITES']","['LOW_CARB', 'LOW_SODIUM']",32.12785775,1.474572879,3.529983943,38.52315269,180.4530093,438.7137197,72.02117255,61.82323422,737.9262774,2.278229552,11.63219506
217,[],['BALANCED'],9.9468,1.782,2.8917,8.3916,11.34,362.07,144.99,18.63,123.12,1.8387,0.972
473,"['GLUTEN', 'WHEAT', 'MILK', 'SULFITES']",['LOW_SODIUM'],25.41221235,1.434512044,2.578062114,35.6894514,123.2905725,518.1972754,42.98128985,56.90704399,671.8961809,1.992255581,4.69085225
779,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES']",[],43.86003291,3.089886492,4.854434098,40.14398306,225.0121559,749.2158008,282.8838378,78.70971305,585.2593402,2.65039183,10.67792819
585,"['GLUTEN', 'WHEAT', 'FISH', 'SULFITES', 'FODMAP']",['LOW_CARB'],34.24056493,1.695283641,19.23192621,41.23470961,167.1302001,817.8901647,64.45977773,70.70289879,730.0351657,2.840366589,13.39973062
693,['SULFITES'],['LOW_CARB'],38.7049656,5.133155474,16.41357493,54.24503894,271.9308736,1169.746123,104.2229925,94.45778242,1090.45303,4.452304118,43.59560287
392,['SULFITES'],"['LOW_CARB', 'LOW_SODIUM']",21.17534247,2.779455068,3.672480441,36.53063255,126.0996574,523.0745912,53.46777835,70.52727187,788.7670569,2.272463745,62.16320484
418,"['GLUTEN', 'WHEAT', 'MILK', 'SULFITES', 'FODMAP']",['LOW_CARB'],22.02855398,1.372816935,1.240073954,38.64303804,128.2029947,630.0423355,116.4928766,61.69677522,602.4157069,2.04439737,5.12085316
468,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES', 'FODMAP']",['LOW_SODIUM'],21.46435888,1.269728865,39.89315747,6.385882685,108.4940375,250.1446754,121.2504308,15.37084009,121.4105714,1.7093239,8.85556312
950,[],['LOW_SODIUM'],49.10308875,2.602419676,79.20477015,11.31119595,273.4168692,472.006438,105.5471338,29.03740105,278.9442503,3.057389759,37.69797373
384,"['GLUTEN', 'WHEAT', 'EGGS', 'SULFITES', 'FODMAP']","['LOW_FAT', 'LOW_SODIUM']",2.071672858,0.773554514,60.35661817,10.70778198,21.97132304,255.5362774,19.17986195,14.57977775,278.559676,1.981111651,2.323461578
70,"['GLUTEN', 'WHEAT', 'SULFITES']","['LOW_FAT', 'LOW_SODIUM']",0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.56,0.0112,0.0
359,"['GLUTEN', 'WHEAT', 'EGGS', 'TREE_NUTS']",['LOW_SODIUM'],15.59052658,1.461510386,36.53461215,4.302116111,69.61931041,157.0339398,94.04220863,15.04930482,173.821007,1.197684153,5.382391962
282,"['GLUTEN', 'WHEAT', 'TREE_NUTS']",['LOW_SODIUM'],13.54534241,1.106519497,22.8929313,3.401523072,58.68520489,127.0785522,45.29800463,11.28938659,74.80181109,1.038889695,0.91278719
3,[],['LOW_SODIUM'],0.0836,0.263,0.0761,0.0,0.23,8.34,1.2,5.29,0.43,0.465,0.465
511,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES', 'FODMAP']",['LOW_SODIUM'],25.7778677,3.6061325,44.7156041,6.851919647,79.76610567,301.3021086,112.59462,54.99923558,241.7623596,2.667138321,0.81684767
211,"['SULFITES', 'FODMAP']","['LOW_FAT', 'LOW_SODIUM']",0.367987697,2.575953402,45.96907013,0.924050742,0.0,49.66886178,31.20804208,18.18765117,174.9587082,0.460716437,48.92602534
269,[],[],13.55332492,0.878820517,14.58715608,3.653930354,29.29978656,321.9249017,59.26501223,24.35708682,149.6302657,2.725644788,0.026181818
386,"['EGGS', 'MILK', 'SULFITES']",['LOW_SODIUM'],28.08423585,1.91790011,3.228919461,9.64306526,70.34194995,388.8418883,113.7250043,21.49596841,298.744656,1.643046871,3.410742017
391,"['GLUTEN', 'WHEAT', 'EGGS', 'MILK', 'SULFITES']",['LOW_SODIUM'],22.23722723,2.206809,21.56442457,8.483048671,61.890453,263.9576879,74.80123846,28.11866131,264.0571891,1.5764547,7.900799723
440,"['GLUTEN', 'WHEAT', 'MILK', 'SULFITES']","['BALANCED', 'LOW_SODIUM']",15.62359847,5.740871975,7.092621249,16.63059942,31.39411562,471.8829828,205.9868446,78.97556252,658.3931175,2.838135404,52.14804791
1112,[],['LOW_SODIUM'],75.50628524982116,5.745650126781514,3.4610345842485892,17.243230306325124,0.0,78.7797243960928,37.195936000748745,58.65226270155101,239.05597734973213,2.164564293300624,39.56311593077102
